"class","age_class","gender","fec","deaths","week","pob","class2","date_plot"
"2","60-+","2",2020-04-15,4,16,126073,8,2020-04-15
"1","0-59","1",2020-04-16,4,16,4190359,1,2020-04-16
"1","0-59","2",2020-04-16,21,16,4074690,2,2020-04-16
"1","60-+","1",2020-04-16,11,16,557258,3,2020-04-16
"1","60-+","2",2020-04-16,36,16,500271,4,2020-04-16
"2","0-59","1",2020-04-16,0,16,624067,5,2020-04-16
"2","0-59","2",2020-04-16,0,16,555371,6,2020-04-16
"2","60-+","1",2020-04-16,3,16,176506,7,2020-04-16
"2","60-+","2",2020-04-16,6,16,126073,8,2020-04-16
"1","0-59","1",2020-04-17,6,16,4190359,1,2020-04-17
"1","0-59","2",2020-04-17,19,16,4074690,2,2020-04-17
"1","60-+","1",2020-04-17,18,16,557258,3,2020-04-17
"1","60-+","2",2020-04-17,37,16,500271,4,2020-04-17
"2","0-59","1",2020-04-17,1,16,624067,5,2020-04-17
"2","0-59","2",2020-04-17,2,16,555371,6,2020-04-17
"2","60-+","1",2020-04-17,1,16,176506,7,2020-04-17
"2","60-+","2",2020-04-17,0,16,126073,8,2020-04-17
"1","0-59","1",2020-04-18,7,16,4190359,1,2020-04-18
"1","0-59","2",2020-04-18,15,16,4074690,2,2020-04-18
"1","60-+","1",2020-04-18,14,16,557258,3,2020-04-18
"1","60-+","2",2020-04-18,35,16,500271,4,2020-04-18
"2","0-59","1",2020-04-18,0,16,624067,5,2020-04-18
"2","0-59","2",2020-04-18,4,16,555371,6,2020-04-18
"2","60-+","1",2020-04-18,0,16,176506,7,2020-04-18
"2","60-+","2",2020-04-18,2,16,126073,8,2020-04-18
"1","0-59","1",2020-04-19,7,16,4190359,1,2020-04-19
"1","0-59","2",2020-04-19,22,16,4074690,2,2020-04-19
"1","60-+","1",2020-04-19,23,16,557258,3,2020-04-19
"1","60-+","2",2020-04-19,36,16,500271,4,2020-04-19
"2","0-59","1",2020-04-19,0,16,624067,5,2020-04-19
"2","0-59","2",2020-04-19,1,16,555371,6,2020-04-19
"2","60-+","1",2020-04-19,3,16,176506,7,2020-04-19
"2","60-+","2",2020-04-19,0,16,126073,8,2020-04-19
"1","0-59","1",2020-04-20,6,17,4190359,1,2020-04-20
"1","0-59","2",2020-04-20,32,17,4074690,2,2020-04-20
